club;budget_GBP;budget_USD;budget_EUR
1. FC Heidenheim;?6,76m;$8,02m;7,85m€
1. FC Kaiserslautern;?4,64m;$5,5m;5,39m€
1. FC Köln;?15,36m;$18,22m;17,85m€
1. FC Magdeburg;?3,82m;$4,53m;4,43m€
1. FC Nürnberg;?6,73m;$7,98m;7,82m€
1. FC Saarbrücken;?2,56m;$3,04m;2,98m€
Aalborg BK;?3,8m;$4,51m;4,42m€
Aalesunds FK;?2,04m;$2,42m;2,37m€
Aarhus GF;?4,2m;$4,99m;4,89m€
Aberdeen;?3,15m;$3,74m;3,66m€
Abha;?2,68m;$3,18m;3,12m€
AC Ajaccio;?5,69m;$6,75m;6,61m€
AC Horsens;?2,16m;$2,56m;2,51m€
Academica Clinceni;?0m;$0m;0m€
Accrington Stanley;?1,72m;$2,03m;1,99m€
Adana Demirspor;3 857;5 292;4 485
Adelaide United;?2,95m;$3,5m;3,43m€
AFC Wimbledon;?1,92m;$2,28m;2,23m€
AIK;?4,84m;$5,74m;5,63m€
Ajax;?31,46m;$37,32m;36,57m€
Al Adalah;?2,57m;$3,05m;2,99m€
Al Batin;?2,37m;$2,81m;2,75m€
Al Fayha;?4,05m;$4,8m;4,7m€
Al Hilal;?27,36m;$32,46m;31,81m€
Al Ittihad;?16,64m;$19,74m;19,35m€
Al Khaleej;?2,06m;$2,44m;2,39m€
Al Nassr;?26m;$30,84m;30,22m€
Al Raed;?3,56m;$4,22m;4,14m€
Al Shabab;?13,33m;$15,81m;15,5m€
Al Ta;?3,53m;$4,18m;4,1m€
Al Taawoun;?6,19m;$7,34m;7,19m€
Al Wehda;?6,41m;$7,61m;7,46m€
Alanyaspor;4 880;6 696;5 674
Alavés;?6,32m;$7,49m;7,34m€
Albacete;?1,86m;$2,21m;2,16m€
Al-Fateh;?5,93m;$7,03m;6,89m€
Altay;2 934;4 026;3 412
Amiens SC;?3,87m;$4,59m;4,5m€
Angers SCO;?9,2m;$10,92m;10,7m€
Antalyaspor;4 522;6 205;5 258
Arge? Pite?ti;?1,87m;$2,22m;2,17m€
Arminia Bielefeld;?7,91m;$9,39m;9,2m€
Arouca;?2,71m;$3,21m;3,14m€
Arsenal;?88,7m;$105,22m;103,11m€
AS Monaco;?32,82m;$38,93m;38,15m€
AS Roma;?57,63m;$68,36m;67m€
AS Saint-Étienne;?8,48m;$10,06m;9,86m€
Aston Villa;?74,15m;$87,96m;86,2m€
Atalanta;?41,76m;$49,54m;48,55m€
Athletic Bilbao;?22,64m;$26,86m;26,32m€
ATK Mohun Bagan;?2,84m;$3,37m;3,31m€
Atlanta United;?34,07m;$40,41m;39,6m€
Atlético Madrid;?79,06m;$93,78m;91,9m€
Austin FC;?16m;$18,97m;18,59m€
Austria Klagenfurt;?3,02m;$3,59m;3,51m€
Austria Lustenau;?1,67m;$1,98m;1,94m€
Auxerre;?6,91m;$8,2m;8,03m€
AZ;?9,5m;$11,27m;11,05m€
Barcelona;?155,15m;$184,04m;180,35m€
Barnsley;?4,57m;$5,42m;5,31m€
Barrow;?1,52m;$1,8m;1,77m€
Bayer Leverkusen;?57,78m;$68,54m;67,16m€
Bayern;?117,07m;$138,86m;136,08m€
Beijing Sinobo Guoan;?5,46m;$6,47m;6,34m€
Bengaluru FC;?1,93m;$2,29m;2,24m€
Beºiktaº Istanbul;22 807;31 293;26 520
Birmingham City;?9,22m;$10,94m;10,72m€
BK Häcken;?3,59m;$4,25m;4,17m€
Blackburn Rovers;?12,31m;$14,6m;14,31m€
Blackpool;?3,18m;$3,77m;3,69m€
Boavista;?5,48m;$6,5m;6,37m€
Bod?/Glimt;?3,23m;$3,83m;3,75m€
Bohemians;?0,66m;$0,78m;0,76m€
Bologna;?20,6m;$24,44m;23,95m€
Bolton Wanderers;?2,95m;$3,5m;3,43m€
Bordeaux;?6,35m;$7,53m;7,38m€
Borussia Dortmund;?67,44m;$79,99m;78,39m€
Borussia Dortmund II;?2,19m;$2,59m;2,54m€
Borussia Mönchengladbach;?26,86m;$31,86m;31,23m€
Boto?ani;?2,63m;$3,12m;3,06m€
Bournemouth;?24,75m;$29,35m;28,76m€
Bradford City;?2,89m;$3,42m;3,35m€
Brentford;?25,17m;$29,85m;29,25m€
Brighton & HA;?44,78m;$53,12m;52,05m€
Brisbane Roar;?3,59m;$4,26m;4,17m€
Bristol City;?10,88m;$12,91m;12,65m€
Bristol Rovers;?2,17m;$2,58m;2,53m€
Br?ndby IF;?5,45m;$6,46m;6,33m€
BSC Young Boys;?11,74m;$13,93m;13,65m€
Burgos;?2,08m;$2,46m;2,41m€
Burnley;?19,95m;$23,67m;23,19m€
Burton Albion;?1,8m;$2,14m;2,1m€
Cádiz;?10,28m;$12,2m;11,95m€
Cambridge United;?1,65m;$1,96m;1,92m€
Cangzhou Lions;?2,02m;$2,39m;2,34m€
Cardiff City;?11,41m;$13,53m;13,26m€
Carlisle United;?1,76m;$2,09m;2,04m€
Cartagena;?2,57m;$3,05m;2,99m€
Casa Pia;?1,9m;$2,26m;2,21m€
Çaykur Rizespor;3 412;4 682;3 967
Celta Vigo;?14,36m;$17,04m;16,7m€
Celtic;?24,24m;$28,75m;28,18m€
Central Coast Mariners;?1,61m;$1,91m;1,88m€
Cercle Brugge;?5,87m;$6,96m;6,82m€
CF Montréal;?17,29m;$20,51m;20,1m€
CFR Cluj;?5,01m;$5,94m;5,83m€
Clermont Foot;?6,89m;$8,18m;8,01m€
Club Brugge;?27,06m;$32,1m;31,46m€
Colchester United;?2,08m;$2,47m;2,42m€
Colorado Rapids;?16,03m;$19,02m;18,64m€
Columbus Crew SC;?17,08m;$20,26m;19,86m€
Coventry City;?6,99m;$8,3m;8,13m€
Cracovia;?3,28m;$3,89m;3,81m€
Crawley Town;?2,25m;$2,66m;2,61m€
Cremonese;?6,64m;$7,87m;7,72m€
Crewe Alexandra;?1,88m;$2,23m;2,18m€
Crystal Palace;?42,37m;$50,26m;49,26m€
D.C. United;?24,6m;$29,18m;28,6m€
Daegu FC;?4,38m;$5,2m;5,09m€
Dalian Yifang;?1,65m;$1,95m;1,91m€
Damac;?4,74m;$5,62m;5,51m€
Darmstadt 98;?6,06m;$7,19m;7,04m€
Degerfors IF;?1,58m;$1,87m;1,83m€
Derby County;?3,06m;$3,63m;3,56m€
Derry City;?0,97m;$1,14m;1,12m€
Desportivo de Chaves;?2,52m;$2,99m;2,93m€
Dijon FCO;?5,41m;$6,42m;6,29m€
Djurg?rdens IF;?4,71m;$5,59m;5,48m€
Doncaster;?2,84m;$3,37m;3,3m€
Drogheda;?0,64m;$0,76m;0,74m€
Dundalk;?0,93m;$1,1m;1,08m€
Dundee United;?1,87m;$2,21m;2,17m€
Dynamo Dresden;?4m;$4,74m;4,64m€
East Bengal;?1,8m;$2,13m;2,09m€
Eibar;?7,54m;$8,94m;8,76m€
Eintracht Braunschweig;?4,2m;$4,98m;4,88m€
Eintracht Frankfurt;?25,78m;$30,58m;29,97m€
EKSTRAKLASA;;;
Elche;?5,82m;$6,9m;6,76m€
Empoli;?5,92m;$7,03m;6,89m€
En Avant Guingamp;?4,68m;$5,55m;5,43m€
Erzgebirge Aue;?2,64m;$3,13m;3,07m€
Espanyol;?10,35m;$12,27m;12,03m€
ESTAC Troyes;?7,74m;$9,18m;8,99m€
