club;budget_GBP;budget_EUR
1. FC Heidenheim;£9,79M;€11,38M
1. FC Kaiserslautern;£5,16M;€6M
1. FC Köln;£14M;€16,27M
1. FC Magdeburg;£4,28M;€4,98M
1. FC Nürnberg;£6,84M;€7,95M
1860 Munchen;£2,29M;€2,67M
Aalesunds FK;£1,96M;€2,28M
Aarhus GF;£4,98M;€5,85M
Aberdeen;£3,42M;€3,98M
Abha;£3,43M;€3,98M
AC Ajaccio;£5,67M;€6,59M
Accrington;£1,9M;€2,21M
Adana Demirspor;£7,56M;€8,78M
Adelaide United;£2,99M;€3,51M
AFC Wimbledon;£1,75M;€2,04M
AIK;£6,13M;€7,13M
Ajax;£28,45M;€33,07M
Al Ahli;£43,1M;€50,1M
Al Fayha;£6,32M;€7,35M
Al Hazem;£3,15M;€3,66M
Al Hilal;£54,5M;€63,35M
Al Ittihad;£42,57M;€49,49M
Al Khaleej;£3,7M;€4,31M
Al Nassr;£49,58M;€57,64M
Al Okhdood;£3,41M;€3,96M
Al Raed;£5,05M;€5,87M
Al Riyadh;£4,07M;€4,73M
Al Shabab;£15,51M;€18,03M
Al Ta;£4,16M;€4,83M
Al Taawoun;£6,53M;€7,59M
Al Wehda;£7,22M;€8,4M
Alanyaspor;£6,46M;€7,51M
Alavés;£7,5M;€8,71M
Albacete;£2,18M;€2,54M
Alcorcón;£2,13M;€2,48M
Al-Fateh;£7,34M;€8,53M
Almere City FC;£3,02M;€3,51M
Amiens SC;£5,1M;€5,93M
Amorebieta;£1,87M;€2,17M
Angers SCO;£8,05M;€9,36M
Antalyaspor;£8,48M;€9,86M
Argentinos Jrs;£5,35M;€6,29M
Arminia Bielefeld;£4,43M;€5,14M
Arouca;£2,58M;€3M
Arsenal;£122,55M;€144,21M
Arsenal de Sarandi;£2,69M;€3,17M
AS Monaco;£45,15M;€52,48M
AS Roma;£61,77M;€71,8M
AS Saint-Étienne;£8,86M;€10,3M
Aston Villa;£74,87M;€88,09M
Atalanta;£39,73M;€46,18M
Athletic Bilbao;£22,72M;€26,41M
ATK Mohun Bagan;£3,1M;€3,6M
Atlanta United;£5,92M;€6,88M
Atlético Madrid;£77,12M;€89,64M
Atlético Tucumán;£4,18M;€4,92M
Austin FC;£16,09M;€18,71M
Austria Klagenfurt;£2,86M;€3,36M
Austria Lustenau;£2,17M;€2,55M
Auxerre;£7,32M;€8,5M
AZ;£11,13M;€12,93M
Banfield;£5,85M;€6,88M
Barcelona;£138,38M;€160,86M
Barnsley;£3,43M;€3,99M
Barracas Central;£5,85M;€6,88M
Barrow;£1,57M;€1,83M
Basaksehir;£9,01M;€10,47M
Bayer Leverkusen;£59,07M;€68,66M
Bayern;£105,51M;€122,65M
Beijing Sinobo Guoan;£5,81M;€6,83M
Belgrano;£4,68M;€5,51M
Bengaluru FC;£1,86M;€2,16M
Beşiktaş Istanbul;£14,58M;€16,94M
Birmingham City;£6,67M;€7,85M
BK Häcken;£5,25M;€6,11M
Blackburn Rovers;£13,37M;€15,73M
Blackpool;£3,76M;€4,37M
Blau-Weiss Linz;£2,17M;€2,55M
Boavista;£5,42M;€6,29M
Boca Juniors;£16,47M;€19,38M
Bodø/Glimt;£5,48M;€6,37M
Bohemians;£0,68M;€0,78M
Bologna;£20,1M;€23,37M
Bolton Wanderers;£3,35M;€3,89M
Bordeaux;£8,73M;€10,14M
Borussia Dortmund;£68M;€79,05M
Borussia Dortmund II;£2,22M;€2,57M
Borussia Mönchengladbach;£22,38M;€26,02M
Botoșani;£2,4M;€2,79M
Bournemouth;£27,59M;€32,46M
Bradford City;£2,64M;€3,06M
Brentford;£29,4M;€34,59M
Brighton & Hove Albion;£49,72M;€58,5M
Brisbane Roar;£3,43M;€4,04M
Bristol City;£10,9M;€12,82M
Bristol Rovers;£2,27M;€2,64M
Brommapojkarna;£1,77M;€2,06M
Brøndby IF;£7,47M;€8,79M
BSC Young Boys;£11,93M;€13,87M
Burgos;£2,19M;€2,55M
Burnley;£23,41M;€27,55M
Burton Albion;£1,87M;€2,17M
Cádiz;£9,57M;€11,12M
Cagliari;£12,44M;€14,46M
Cambridge United;£1,89M;€2,2M
Cangzhou Lions;£2,71M;€3,19M
Cardiff City;£10,21M;€12,02M
Carlisle United;£1,45M;€1,69M
Cartagena;£2,52M;€2,93M
Casa Pia;£2,74M;€3,19M
Çaykur Rizespor;£3,72M;€4,33M
Celta Vigo;£14,57M;€16,94M
Celtic;£26,1M;€30,34M
Central Coast Mariners;£1,59M;€1,87M
Central Córdoba;£4,44M;€5,22M
Cercle Brugge;£5,9M;€6,95M
CF Montréal;£15,81M;€18,38M
CFR Cluj;£4,56M;€5,3M
Clermont Foot;£9,22M;€10,72M
Club Brugge;£22,77M;€26,79M
Colchester United;£1,42M;€1,65M
Colón;£5,72M;€6,73M
Colorado Rapids;£18,9M;€21,97M
Columbus Crew SC;£19,46M;€22,62M
Cork City;£0,75M;€0,87M
Coventry City;£8,67M;€10,2M
Cracovia;£3,39M;€3,94M
Crawley Town;£1,81M;€2,1M
Crewe Alexandra;£1,45M;€1,68M
Crystal Palace;£43,21M;€50,85M
D.C. United;£20,36M;€23,67M
Daegu FC;£4,07M;€4,73M
Daejeon Citizen;£5,75M;€6,69M
Dalian Yifang;£2,01M;€2,37M
Damac;£6,9M;€8,02M
Darmstadt 98;£9,46M;€11M
Defensa y Justicia;£6,31M;€7,42M
Degerfors IF;£1,58M;€1,83M
Derby County;£4,71M;€5,48M
Derry City;£1M;€1,16M
Dinamo Bucuresti;£1,31M;€1,53M
Djurgårdens IF;£6,55M;€7,62M
Doncaster;£2,35M;€2,73M
Drogheda;£0,69M;€0,8M
Dundalk;£0,93M;€1,08M
Dundee United;£1,66M;€1,93M
Dynamo Dresden;£4,03M;€4,69M
East Bengal;£1,84M;€2,14M
Eibar;£7,51M;€8,73M
Eintracht Braunschweig;£4,35M;€5,06M
Eintracht Frankfurt;£38,51M;€44,76M
Eldense;£1,49M;€1,73M
Elche;£3,13M;€3,64M
Empoli;£6,06M;€7,04M
En Avant Guingamp;£6,4M;€7,44M
Erzgebirge Aue;£2,48M;€2,88M
Espanyol;£7,4M;€8,6M
ESTAC Troyes;£7,53M;€8,76M
Estoril;£2,75M;€3,2M
Estrela Amadora;£2,75M;3035
Estudiantes;£8,87M;€10,43M
Ettifaq FC;£7,5M;€8,72M
Eupen;£4M;€4,71M
Everton;£38,72M;€45,56M
Excelsior;£2,92M;€3,39M
Exeter City;£1,7M;€1,97M
Famalicão;£5,02M;€5,84M
