coach_id;coach_url;short_name;long_name;dob;nationality_name
24;/coach/24/david-unsworth/;D. Unsworth;David Unsworth;16.10.1973;England
50;/coach/50/steven-gerrard/;S. Gerrard;Steven Gerrard;30.05.1980;England
95;/coach/95/frank-lampard/;F. Lampard;Frank Lampard;20.06.1978;England
121;/coach/121/carl-hoefkens/;C. Hoefkens;Carl Hoefkens;05.10.1978;Belgium
126;/coach/126/andy-dawson/;A. Dawson;Andy Dawson;20.10.1978;England
204;/coach/204/ki-hyeon-seol/;K. Seol;Ki-Hyeon Seol;08.01.1979;Korea Republic
236;/coach/236/vincent-kompany/;V. Kompany;Vincent Kompany;10.04.1986;Belgium
243;/coach/243/didier-digard/;D. Digard;Didier Digard;12.07.1986;France
252;/coach/252/carlos-alberto-tevez/;C. Tevez;Carlos Alberto Tevez;05.02.1984;Argentina
270;/coach/270/gary-oneil/;G. O'Neil;Gary O'Neil;18.05.1983;England
277;/coach/277/matthew-taylor/;M. Taylor;Matthew Taylor;27.11.1981;England
305;/coach/305/phil-neville/;P. Neville;Phil Neville;21.01.1977;England
307;/coach/307/mikel-arteta-amatriain/;M. Arteta;Mikel Arteta Amatriain;26.03.1982;Spain
380;/coach/380/emre-belozoglu/;E. Belözo?lu;Emre Belözo?lu;07.09.1980;Turkey
382;/coach/382/damien-duff/;D. Duff;Damien Duff;02.03.1979;Republic of Ireland
384;/coach/384/darren-moore/;D. Moore;Darren Moore;22.04.1974;England
468;/coach/468/wade-elliott/;W. Elliott;Wade Elliott;14.12.1978;England
469;/coach/469/olof-mellberg/;O. Mellberg;Olof Mellberg;03.09.1977;Sweden
491;/coach/491/ian-ross-evatt/;I. Evatt;Ian Ross Evatt;19.11.1981;England
497;/coach/497/dirk-kuijt/;D. Kuijt;Dirk Kuijt;22.07.1980;Netherlands
511;/coach/511/xabier-alonso-olano/;X. Alonso Olano;Xabier Alonso Olano;25.11.1981;Spain
562;/coach/562/rob-edwards/;R. Edwards;Rob Edwards;25.12.1982;Wales
579;/coach/579/wayne-mark-rooney/;W. Rooney;Wayne Mark Rooney;24.10.1985;England
607;/coach/607/gary-mcsheffrey/;G. McSheffrey;Gary McSheffrey;13.08.1982;England
611;/coach/611/mehdi-nafti/;M. Nafti;Mehdi Nafti;28.11.1978;Tunisia
645;/coach/645/michael-carrick/;M. Carrick;Michael Carrick;28.07.1981;England
658;/coach/658/joey-barton/;J. Barton;Joey Barton;02.09.1982;England
684;/coach/684/nick-montgomery/;N. Montgomery;Nick Montgomery;28.10.1981;Scotland
727;/coach/727/alberto-aquilani/;A. Aquilani;Alberto Aquilani;07.07.1984;Italy
869;/coach/869/steve-morison/;S. Morison;Steve Morison;29.08.1983;Wales
904;/coach/904/russell-martin/;R. Martin;Russell Martin;04.01.1986;Scotland
912;/coach/912/steven-naismith/;S. Naismith;Steven Naismith;14.09.1986;Scotland
938;/coach/938/ryan-mason/;R. Mason;Ryan Mason;13.06.1991;England
1198;/coach/1198/kelvin-davis/;K. Davis;Kelvin Davis;29.09.1976;England
1334;/coach/1334/shaun-maloney/;S. Maloney;Shaun Maloney;24.01.1983;Scotland
1346;/coach/1346/patrick-mccarthy/;P. McCarthy;Patrick McCarthy;31.05.1983;Republic of Ireland
1398;/coach/1398/martin-gaston-demichelis/;M. Demichelis;Martín Gastón Demichelis;20.12.1980;Argentina
1458;/coach/1458/michael-duff/;M. Duff;Michael Duff;11.01.1978;Northern Ireland
1600;/coach/1600/lee-johnson/;L. Johnson;Lee Johnson;07.06.1981;England
1621;/coach/1621/jim-goodwin/;J. Goodwin;Jim Goodwin;20.11.1981;Republic of Ireland
1631;/coach/1631/patrick-kisnorbo/;P. Kisnorbo;Patrick Kisnorbo;24.03.1981;Australia
1713;/coach/1713/zhi-zheng/;Z. Zheng;Zhi Zheng;20.08.1980;China PR
1742;/coach/1742/callum-davidson/;C. Davidson;Callum Davidson;25.06.1976;Scotland
1749;/coach/1749/grant-mccann/;G. McCann;Grant McCann;14.04.1980;Northern Ireland
1752;/coach/1752/martin-devaney/;M. Devaney;Martin Devaney;01.06.1980;England
1773;/coach/1773/wayne-brown/;W. Brown;Wayne Brown;20.08.1977;England
1819;/coach/1819/gareth-ainsworth/;G. Ainsworth;Gareth Ainsworth;10.05.1973;England
2003;/coach/2003/johnnie-jackson/;J. Jackson;Johnnie Jackson;15.08.1982;England
2103;/coach/2103/richard-wellens/;R. Wellens;Richard Wellens;26.03.1980;England
2133;/coach/2133/michael-john-flynn/;M. Flynn;Michael John Flynn;17.10.1980;Wales
2141;/coach/2141/matthew-sadler/;M. Sadler;Matthew Sadler;26.02.1985;England
2146;/coach/2146/john-eustace/;J. Eustace;John Eustace;03.11.1979;England
2151;/coach/2151/mark-fotheringham/;M. Fotheringham;Mark Fotheringham;22.10.1983;Scotland
2198;/coach/2198/mark-kennedy/;M. Kennedy;Mark Kennedy;15.05.1976;Republic of Ireland
2508;/coach/2508/barry-robson/;B. Robson;Barry Robson;07.11.1978;Scotland
2615;/coach/2615/colin-healy/;C. Healy;Colin Healy;15.03.1980;Republic of Ireland
2733;/coach/2733/matthew-taylor/;M. Taylor;Matthew Taylor;30.01.1982;England
2922;/coach/2922/bruno-saltor-grau/;B. Saltor Grau;Bruno Saltor Grau;01.10.1980;Spain
3038;/coach/3038/neil-harris/;N. Harris;Neil Harris;12.07.1977;England
3125;/coach/3125/tore-andre-flo/;T. Flo;Tore Andre Flo;15.06.1973;Norway
3311;/coach/3311/paul-warne/;P. Warne;Paul Warne;08.05.1973;England
3428;/coach/3428/john-mousinho/;J. Mousinho;John Mousinho;30.04.1986;England
3494;/coach/3494/lewis-jack-young/;L. Young;Lewis Jack Young;27.09.1989;England
3804;/coach/3804/ivan-gabriel-heinze/;I. Heinze;Iván Gabriel Heinze;19.04.1978;Argentina
3960;/coach/3960/bruno-berner/;B. Berner;Bruno Berner;21.11.1977;Switzerland
4043;/coach/4043/mile-sterjovski/;M. Sterjovski;Mile Sterjovski;27.05.1979;Australia
4115;/coach/4115/nuri-sahin/;N. ªahin;Nuri ªahin;05.09.1988;Turkey
4665;/coach/4665/steven-defour/;S. Defour;Steven Defour;15.04.1988;Belgium
4724;/coach/4724/steven-maclean/;S. MacLean;Steven MacLean;23.08.1982;Scotland
